0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:48:54 +0530] "GET /RoyalKitchen/admin/AdminRestaurant HTTP/1.1" 200 48679
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:48:54 +0530] "GET /RoyalKitchen/admin/adminProfile.js HTTP/1.1" 200 2375
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:48:54 +0530] "GET /RoyalKitchen/admin/menuUpdateDelete.js HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:48:54 +0530] "GET /RoyalKitchen/admin/restaurantProfile.js HTTP/1.1" 200 4645
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:48:54 +0530] "GET /RoyalKitchen/admin/menuProfile.js HTTP/1.1" 200 1362
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:49:02 +0530] "POST /RoyalKitchen/admin/adminmenuDetails HTTP/1.1" 200 49601
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:53:32 +0530] "POST /RoyalKitchen/admin/AddMenuServlet HTTP/1.1" 200 2847
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:53:35 +0530] "GET /RoyalKitchen/admin/AdminRestaurant HTTP/1.1" 200 54307
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:53:36 +0530] "GET /RoyalKitchen/admin/styles/images/ HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:53:42 +0530] "POST /RoyalKitchen/admin/adminmenuDetails HTTP/1.1" 200 53885
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:54:48 +0530] "POST /RoyalKitchen/admin/updateMenu HTTP/1.1" 200 2849
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:54:50 +0530] "GET /RoyalKitchen/admin/AdminRestaurant HTTP/1.1" 200 54321
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:54:56 +0530] "POST /RoyalKitchen/admin/adminmenuDetails HTTP/1.1" 200 53885
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:55:01 +0530] "GET /RoyalKitchen/admin/AdminRestaurant HTTP/1.1" 200 54321
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:55:08 +0530] "POST /RoyalKitchen/admin/adminNavbar.jsp HTTP/1.1" 200 50545
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:55:08 +0530] "POST /RoyalKitchen/admin/adminNavbar.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:55:08 +0530] "GET /RoyalKitchen/admin/adminSignIn.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:55:08 +0530] "GET /RoyalKitchen/index.jsp HTTP/1.1" 200 3905
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:55:18 +0530] "POST /RoyalKitchen/searchRestaurants HTTP/1.1" 200 98350
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:55:37 +0530] "POST /RoyalKitchen/AdminAccessServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:55:37 +0530] "GET /RoyalKitchen/admin/adminSignIn.jsp HTTP/1.1" 200 5542
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:55:44 +0530] "GET /RoyalKitchen/admin/adminSignUp.jsp HTTP/1.1" 200 11181
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:55:44 +0530] "GET /RoyalKitchen/admin/admin/styles/password.js HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:55:58 +0530] "POST /RoyalKitchen/admin/adminSignUp HTTP/1.1" 200 2830
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:55:58 +0530] "POST /RoyalKitchen/admin/adminSignUp HTTP/1.1" 200 2835
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:56:00 +0530] "GET /RoyalKitchen/admin/adminSignUp.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:56:00 +0530] "GET /RoyalKitchen/index.jsp HTTP/1.1" 200 3905
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:56:10 +0530] "POST /RoyalKitchen/searchRestaurants HTTP/1.1" 200 98350
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:56:20 +0530] "POST /RoyalKitchen/AdminAccessServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:56:20 +0530] "GET /RoyalKitchen/admin/adminSignIn.jsp HTTP/1.1" 200 5542
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:56:21 +0530] "GET /RoyalKitchen/admin/adminSignUp.jsp HTTP/1.1" 200 11181
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:56:21 +0530] "GET /RoyalKitchen/admin/admin/styles/password.js HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:56:32 +0530] "POST /RoyalKitchen/admin/adminSignUp HTTP/1.1" 200 2830
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:56:32 +0530] "POST /RoyalKitchen/admin/adminSignUp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:56:32 +0530] "GET /RoyalKitchen/admin/adminSignUp.jsp HTTP/1.1" 200 11194
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:56:32 +0530] "GET /RoyalKitchen/admin/admin/styles/password.js HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:58:01 +0530] "POST /RoyalKitchen/admin/adminSignUp HTTP/1.1" 200 2830
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:58:01 +0530] "POST /RoyalKitchen/admin/adminSignUp HTTP/1.1" 200 2869
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:58:06 +0530] "GET /RoyalKitchen/admin/adminSignUp.jsp HTTP/1.1" 200 11194
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:58:06 +0530] "GET /RoyalKitchen/admin/admin/styles/password.js HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:58:44 +0530] "POST /RoyalKitchen/admin/adminSignUp HTTP/1.1" 200 2830
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:58:44 +0530] "POST /RoyalKitchen/admin/adminSignUp HTTP/1.1" 200 2869
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:58:49 +0530] "GET /RoyalKitchen/admin/adminSignUp.jsp HTTP/1.1" 200 11194
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:58:50 +0530] "GET /RoyalKitchen/admin/admin/styles/password.js HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:00:14 +0530] "POST /RoyalKitchen/admin/adminSignUp HTTP/1.1" 200 2830
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:00:14 +0530] "POST /RoyalKitchen/admin/adminSignUp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:00:14 +0530] "GET /RoyalKitchen/admin/adminSignUp.jsp HTTP/1.1" 200 11196
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:00:15 +0530] "GET /RoyalKitchen/admin/admin/styles/password.js HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:00:48 +0530] "POST /RoyalKitchen/admin/adminSignUp HTTP/1.1" 200 2830
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:00:48 +0530] "POST /RoyalKitchen/admin/adminSignUp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:00:48 +0530] "GET /RoyalKitchen/admin/adminSignUp.jsp HTTP/1.1" 200 11225
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:00:49 +0530] "GET /RoyalKitchen/admin/admin/styles/password.js HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:00:51 +0530] "GET /RoyalKitchen/admin/adminSignUp.jsp HTTP/1.1" 200 11225
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:00:52 +0530] "GET /RoyalKitchen/admin/admin/styles/password.js HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:01:01 +0530] "GET /RoyalKitchen/admin/adminSign.jsp HTTP/1.1" 404 753
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:01:01 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:01:09 +0530] "GET /RoyalKitchen/admin/adminsign.jsp HTTP/1.1" 404 753
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:01:16 +0530] "GET /RoyalKitchen/admin/adminSignUp.jsp HTTP/1.1" 200 11225
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:01:16 +0530] "GET /RoyalKitchen/admin/admin/styles/password.js HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:01:22 +0530] "GET /RoyalKitchen/admin/adminSignIn.jsp HTTP/1.1" 200 5542
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:03:06 +0530] "POST /RoyalKitchen/admin/adminSignIn HTTP/1.1" 200 2815
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:03:12 +0530] "GET /RoyalKitchen/admin/adminSignIn.jsp HTTP/1.1" 200 5542
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:06:41 +0530] "GET /RoyalKitchen/admin/adminSignUp.jsp HTTP/1.1" 200 11225
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:06:41 +0530] "GET /RoyalKitchen/admin/admin/styles/password.js HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:06:43 +0530] "POST /RoyalKitchen/admin/adminSignUp HTTP/1.1" 200 2830
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:06:44 +0530] "POST /RoyalKitchen/admin/adminSignUp HTTP/1.1" 200 2825
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:06:47 +0530] "GET /RoyalKitchen/admin/adminSignUp.jsp HTTP/1.1" 200 11225
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:06:47 +0530] "GET /RoyalKitchen/admin/admin/styles/password.js HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:07:07 +0530] "POST /RoyalKitchen/admin/adminSignUp HTTP/1.1" 200 2830
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:07:07 +0530] "POST /RoyalKitchen/admin/adminSignUp HTTP/1.1" 200 2825
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:07:10 +0530] "GET /RoyalKitchen/admin/adminSignUp.jsp HTTP/1.1" 200 11225
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:07:10 +0530] "GET /RoyalKitchen/admin/admin/styles/password.js HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:08:02 +0530] "GET /RoyalKitchen/admin/adminSignUp.jsp HTTP/1.1" 200 11225
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:08:02 +0530] "GET /RoyalKitchen/admin/admin/styles/password.js HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:08:10 +0530] "GET /RoyalKitchen/admin/adminSignIn.jsp HTTP/1.1" 200 5542
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:08:11 +0530] "GET /RoyalKitchen/admin/adminSignUp.jsp HTTP/1.1" 200 11225
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:08:12 +0530] "GET /RoyalKitchen/admin/admin/styles/password.js HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:08:43 +0530] "GET /RoyalKitchen/ HTTP/1.1" 200 3905
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:08:56 +0530] "POST /RoyalKitchen/searchRestaurants HTTP/1.1" 200 98326
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:10:00 +0530] "POST /RoyalKitchen/AdminAccessServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:10:00 +0530] "GET /RoyalKitchen/admin/adminSignIn.jsp HTTP/1.1" 200 5542
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:10:03 +0530] "GET /RoyalKitchen/admin/adminSignUp.jsp HTTP/1.1" 200 11225
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:10:03 +0530] "GET /RoyalKitchen/admin/admin/styles/password.js HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:10:12 +0530] "POST /RoyalKitchen/admin/adminSignUp HTTP/1.1" 200 2830
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:10:12 +0530] "POST /RoyalKitchen/admin/adminSignUp HTTP/1.1" 200 2825
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:10:15 +0530] "GET /RoyalKitchen/admin/adminSignUp.jsp HTTP/1.1" 200 11225
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:10:16 +0530] "GET /RoyalKitchen/admin/admin/styles/password.js HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:10:22 +0530] "GET /RoyalKitchen/admin/adminSignIn.jsp HTTP/1.1" 200 5542
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:10:49 +0530] "GET /RoyalKitchen/admin/adminSignUp.jsp HTTP/1.1" 200 11225
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:10:49 +0530] "GET /RoyalKitchen/admin/admin/styles/password.js HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:10:54 +0530] "GET /RoyalKitchen/admin/adminSignIn.jsp HTTP/1.1" 200 5542
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:12:10 +0530] "POST /RoyalKitchen/admin/adminSignIn HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:12:11 +0530] "GET /RoyalKitchen/admin/AdminRestaurant HTTP/1.1" 200 54321
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:12:34 +0530] "POST /RoyalKitchen/admin/adminOrderTable HTTP/1.1" 200 52853
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:12:43 +0530] "POST /RoyalKitchen/admin/adminOrderTable HTTP/1.1" 200 52853
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:13:42 +0530] "POST /RoyalKitchen/admin/deleteAdminProfile HTTP/1.1" 200 2819
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:13:45 +0530] "GET /RoyalKitchen/admin/AdminRestaurant HTTP/1.1" 200 54321
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:14:00 +0530] "POST /RoyalKitchen/admin/deleteAdminProfile HTTP/1.1" 200 2844
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:14:04 +0530] "GET /RoyalKitchen/admin/AdminRestaurant HTTP/1.1" 200 54321
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:14:25 +0530] "POST /RoyalKitchen/admin/deleteAdminProfile HTTP/1.1" 200 2819
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:39:29 +0530] "GET /RoyalKitchen/admin/AdminRestaurant HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:39:29 +0530] "GET /RoyalKitchen/admin/adminSignIn.jsp HTTP/1.1" 302 -
